fecha;producto;cliente;valor
2022-12-26;pr-wd-93;cli-wd-35;33,28
2022-12-26;pr-wd-93;cli-wd-33;28,92
2022-12-26;pr-wd-93;cli-wd-05;39,76
2022-12-26;pr-wd-93;cli-wd-41;28,74
2022-12-26;pr-wd-93;cli-wd-28;33,22
2022-12-26;pr-wd-93;cli-wd-07;37,14
2022-12-26;pr-wd-93;cli-wd-73;29,92
2022-12-26;pr-wd-93;cli-wd-72;28,2
2022-12-26;pr-wd-93;cli-wd-12;33,9
2022-12-26;pr-wd-93;cli-wd-34;33,44
2022-12-25;pr-wd-93;cli-wd-33;30,36
2022-12-25;pr-wd-93;cli-wd-48;28,46
2022-12-25;pr-wd-93;cli-wd-23;33,9
2022-12-25;pr-wd-93;cli-wd-62;28,76
2022-12-25;pr-wd-93;cli-wd-88;29,26
2022-12-25;pr-wd-93;cli-wd-37;28,84
2022-12-25;pr-wd-93;cli-wd-99;28,28
2022-12-25;pr-wd-93;cli-wd-44;38,42
2022-12-25;pr-wd-93;cli-wd-86;31,62
2022-12-25;pr-wd-93;cli-wd-91;27,82
2022-12-25;pr-wd-93;cli-wd-35;31,22
2022-12-24;pr-al-52;cli-al-65;37026,719
2022-12-24;pr-al-52;cli-al-99;36773,4583
2022-12-24;pr-al-52;cli-al-47;37052,0451
2022-12-24;pr-al-52;cli-al-78;36596,1758
2022-12-24;pr-al-52;cli-al-03;45029,7581
2022-12-24;pr-al-52;cli-al-01;45207,0407
2022-12-24;pr-wd-93;cli-wd-05;28,64
2022-12-24;pr-wd-93;cli-wd-90;28,92
2022-12-24;pr-wd-93;cli-wd-14;36,08
2022-12-24;pr-wd-93;cli-wd-27;38,92
2022-12-24;pr-wd-93;cli-wd-09;29,78
2022-12-24;pr-wd-93;cli-wd-79;33,02
2022-12-24;pr-wd-93;cli-wd-15;26,66
2022-12-24;pr-wd-93;cli-wd-90;30,66
2022-12-24;pr-wd-93;cli-wd-42;32,14
2022-12-24;pr-wd-93;cli-wd-77;33,9
2022-12-23;pr-al-52;cli-al-51;36950,7408
2022-12-23;pr-al-52;cli-al-63;37178,6755
2022-12-23;pr-al-52;cli-al-96;35557,8068
2022-12-23;pr-al-52;cli-al-52;37229,3276
2022-12-23;pr-al-52;cli-al-96;44599,2149
2022-12-23;pr-al-52;cli-al-04;44573,8888
2022-12-23;pr-al-52;cli-al-94;36216,2847
2022-12-23;pr-al-52;cli-al-23;45029,7581
2022-12-23;pr-al-52;cli-al-15;36266,9368
2022-12-23;pr-wd-93;cli-wd-43;27,2
2022-12-23;pr-wd-93;cli-wd-29;29,28
2022-12-23;pr-wd-93;cli-wd-36;38,24
2022-12-23;pr-wd-93;cli-wd-13;32,6
2022-12-23;pr-wd-93;cli-wd-32;30,4
2022-12-23;pr-wd-93;cli-wd-71;29,54
2022-12-23;pr-wd-93;cli-wd-59;38,68
2022-12-23;pr-wd-93;cli-wd-86;34,58
2022-12-23;pr-wd-93;cli-wd-28;28,38
2022-12-23;pr-wd-93;cli-wd-66;32,4
2022-12-23;pr-al-52;cli-al-42;37431,9362
2022-12-22;pr-al-52;cli-al-45;36039,0022
2022-12-22;pr-al-52;cli-al-62;35836,3936
2022-12-22;pr-al-52;cli-al-57;36418,8933
2022-12-22;pr-al-52;cli-al-06;43662,1502
2022-12-22;pr-al-52;cli-al-28;43408,8895
2022-12-22;pr-al-52;cli-al-28;43459,5416
2022-12-22;pr-al-52;cli-al-44;35608,4589
2022-12-22;pr-wd-93;cli-wd-84;31,58
2022-12-22;pr-wd-93;cli-wd-30;28,6
2022-12-22;pr-wd-93;cli-wd-62;33,7
2022-12-22;pr-dd-15;cli-dd-75;29,0
2022-12-22;pr-wd-93;cli-wd-92;28,48
2022-12-22;pr-dd-15;cli-dd-89;27,98
2022-12-22;pr-dd-15;cli-dd-62;27,84
2022-12-22;pr-wd-93;cli-wd-97;31,56
2022-12-22;pr-wd-93;cli-wd-01;31,48
2022-12-22;pr-wd-93;cli-wd-27;31,2
2022-12-22;pr-wd-93;cli-wd-62;32,06
2022-12-22;pr-wd-93;cli-wd-77;27,36
2022-12-22;pr-wd-93;cli-wd-03;34,86
2022-12-22;pr-wd-93;cli-wd-70;31,24
2022-12-22;pr-wd-93;cli-wd-72;32,32
2022-12-21;pr-al-52;cli-al-27;44345,9542
2022-12-21;pr-al-52;cli-al-09;35380,5243
2022-12-21;pr-al-52;cli-al-62;35355,1982
2022-12-21;pr-al-52;cli-al-37;36089,6543
2022-12-21;pr-al-52;cli-al-97;36393,5672
2022-12-21;pr-al-52;cli-al-51;45308,345
2022-12-21;pr-wd-93;cli-wd-44;33,98
2022-12-21;pr-wd-93;cli-wd-24;33,76
2022-12-21;pr-wd-93;cli-wd-79;28,0
2022-12-21;pr-wd-93;cli-wd-59;30,44
2022-12-21;pr-wd-93;cli-wd-32;36,46
2022-12-21;pr-wd-93;cli-wd-96;37,38
2022-12-21;pr-wd-93;cli-wd-88;35,22
2022-12-21;pr-wd-93;cli-wd-52;30,12
2022-12-21;pr-wd-93;cli-wd-62;37,5
2022-12-21;pr-wd-93;cli-wd-58;29,56
2022-12-21;pr-wd-93;cli-wd-52;29,78
2022-12-21;pr-wd-93;cli-wd-12;34,08
2022-12-21;pr-wd-93;cli-wd-39;29,52
2022-12-21;pr-wd-93;cli-wd-02;37,88
2022-12-21;pr-wd-93;cli-wd-03;40,12
2022-12-20;pr-al-52;cli-al-56;46372,04
2022-12-20;pr-al-52;cli-al-81;37938,4577
2022-12-20;pr-al-52;cli-al-59;36114,9804
2022-12-20;pr-al-52;cli-al-02;37254,6537
2022-12-20;pr-al-52;cli-al-02;36418,8933
2022-12-20;pr-al-52;cli-al-92;36393,5672
2022-12-20;pr-al-52;cli-al-54;37001,3929
2022-12-20;pr-al-52;cli-al-87;37077,3712
2022-12-20;pr-al-52;cli-al-96;36368,2411
2022-12-20;pr-wd-93;cli-wd-97;33,64
2022-12-20;pr-wd-93;cli-wd-01;33,44
2022-12-20;pr-wd-93;cli-wd-19;30,24
2022-12-20;pr-wd-93;cli-wd-02;31,02
2022-12-20;pr-dd-15;cli-dd-53;29,68
2022-12-20;pr-dd-15;cli-dd-44;27,94
2022-12-20;pr-wd-93;cli-wd-90;33,98
2022-12-20;pr-wd-93;cli-wd-32;33,68
2022-12-20;pr-wd-93;cli-wd-70;39,72
2022-12-20;pr-wd-93;cli-wd-32;30,14
2022-12-20;pr-wd-93;cli-wd-68;28,64
2022-12-20;pr-wd-93;cli-wd-55;31,96
2022-12-20;pr-wd-93;cli-wd-75;33,34
2022-12-20;pr-wd-93;cli-wd-56;33,66
2022-12-20;pr-wd-93;cli-wd-17;28,08
2022-12-20;pr-wd-93;cli-wd-38;31,22
2022-12-20;pr-wd-93;cli-wd-24;39,58
2022-12-19;pr-al-52;cli-al-69;37254,6537
2022-12-19;pr-al-52;cli-al-98;36672,154
2022-12-19;pr-al-52;cli-al-70;36976,0669
2022-12-19;pr-al-52;cli-al-86;46144,1054
2022-12-19;pr-al-52;cli-al-11;46346,714
2022-12-19;pr-al-52;cli-al-16;36545,5236
2022-12-19;pr-al-52;cli-al-97;36241,6107
2022-12-19;pr-al-52;cli-al-73;36672,154
2022-12-19;pr-al-52;cli-al-59;36393,5672
2022-12-19;pr-al-52;cli-al-70;45055,0842
2022-12-19;pr-wd-93;cli-wd-80;34,46
2022-12-19;pr-wd-93;cli-wd-93;28,7
2022-12-19;pr-wd-93;cli-wd-03;28,28
2022-12-19;pr-wd-93;cli-wd-20;32,9
2022-12-19;pr-wd-93;cli-wd-59;37,98
2022-12-19;pr-wd-93;cli-wd-36;37,24
2022-12-19;pr-wd-93;cli-wd-19;33,88
2022-12-19;pr-wd-93;cli-wd-90;26,8
2022-12-19;pr-wd-93;cli-wd-67;30,24
2022-12-19;pr-wd-93;cli-wd-19;29,76
2022-12-19;pr-wd-93;cli-wd-20;9,6
2022-12-18;pr-al-52;cli-al-96;35836,3936
2022-12-18;pr-al-52;cli-al-71;35836,3936
2022-12-18;pr-al-52;cli-al-52;36241,6107
2022-12-18;pr-al-52;cli-al-33;35304,546
2022-12-18;pr-al-52;cli-al-40;36418,8933
2022-12-18;pr-al-52;cli-al-39;36418,8933
2022-12-18;pr-al-52;cli-al-82;35507,1546
2022-12-18;pr-wd-93;cli-wd-01;36,5
2022-12-18;pr-wd-93;cli-wd-11;26,32
2022-12-18;pr-wd-93;cli-wd-92;32,82
2022-12-18;pr-wd-93;cli-wd-57;26,54
2022-12-18;pr-wd-93;cli-wd-89;38,14
2022-12-18;pr-wd-93;cli-wd-50;29,76
2022-12-18;pr-wd-93;cli-wd-23;29,08
2022-12-18;pr-wd-93;cli-wd-31;30,7
2022-12-18;pr-wd-93;cli-wd-94;33,48
2022-12-18;pr-wd-93;cli-wd-42;38,8
2022-12-17;pr-al-52;cli-al-99;36317,589
2022-12-17;pr-al-52;cli-al-07;36292,2629
2022-12-17;pr-al-52;cli-al-16;35684,4371
2022-12-17;pr-al-52;cli-al-90;35861,7197
2022-12-17;pr-al-52;cli-al-60;35456,5025
2022-12-17;pr-al-52;cli-al-02;35228,5678
2022-12-17;pr-al-52;cli-al-01;36292,2629
2022-12-17;pr-al-52;cli-al-48;43408,8895
2022-12-17;pr-al-52;cli-al-12;35659,1111
2022-12-17;pr-al-52;cli-al-69;36190,9586
2022-12-17;pr-wd-93;cli-wd-37;31,44
2022-12-17;pr-wd-93;cli-wd-32;28,92
2022-12-17;pr-wd-93;cli-wd-09;29,64
2022-12-17;pr-wd-93;cli-wd-99;27,94
2022-12-17;pr-wd-93;cli-wd-19;37,24
2022-12-17;pr-wd-93;cli-wd-48;30,54
2022-12-17;pr-wd-93;cli-wd-80;33,96
2022-12-17;pr-wd-93;cli-wd-03;30,64
2022-12-17;pr-wd-93;cli-wd-20;28,18
2022-12-17;pr-wd-93;cli-wd-24;33,84
2022-12-16;pr-al-52;cli-al-54;35709,7632
2022-12-16;pr-al-52;cli-al-33;35431,1764
2022-12-16;pr-al-52;cli-al-24;34949,981
2022-12-16;pr-al-52;cli-al-75;36621,5018
2022-12-16;pr-al-52;cli-al-72;41863,999
2022-12-16;pr-wd-93;cli-wd-36;32,1
2022-12-16;pr-wd-93;cli-wd-38;35,68
2022-12-16;pr-wd-93;cli-wd-84;27,92
2022-12-16;pr-dd-15;cli-dd-99;29,44
2022-12-16;pr-dd-15;cli-dd-89;28,16
2022-12-16;pr-dd-15;cli-dd-99;28,78
2022-12-16;pr-dd-15;cli-dd-25;28,5
2022-12-16;pr-wd-93;cli-wd-93;31,22
2022-12-16;pr-wd-93;cli-wd-18;33,5
2022-12-16;pr-wd-93;cli-wd-82;27,7
2022-12-16;pr-wd-93;cli-wd-66;39,0
2022-12-16;pr-wd-93;cli-wd-54;30,5
2022-12-16;pr-wd-93;cli-wd-35;29,9
2022-12-16;pr-wd-93;cli-wd-80;32,5
2022-12-16;pr-wd-93;cli-wd-61;31,9
2022-12-15;pr-al-52;cli-al-41;36798,7844
2022-12-15;pr-al-52;cli-al-33;37102,6972
2022-12-15;pr-al-52;cli-al-68;36697,4801
2022-12-15;pr-al-52;cli-al-33;34494,1117
2022-12-15;pr-al-52;cli-al-14;35963,0239
2022-12-15;pr-al-52;cli-al-21;35811,0675
2022-12-15;pr-al-52;cli-al-48;44725,8453
2022-12-15;pr-al-52;cli-al-20;45738,8882
2022-12-15;pr-al-52;cli-al-08;44320,6281
2022-12-15;pr-wd-93;cli-wd-07;33,36
2022-12-15;pr-wd-93;cli-wd-67;28,92
2022-12-15;pr-dd-15;cli-dd-17;26,52
2022-12-15;pr-wd-93;cli-wd-33;31,64
2022-12-15;pr-dd-15;cli-dd-48;30,4
2022-12-15;pr-dd-15;cli-dd-76;30,56
2022-12-15;pr-dd-15;cli-dd-59;28,1
2022-12-15;pr-wd-93;cli-wd-86;30,52
2022-12-15;pr-wd-93;cli-wd-22;39,08
2022-12-15;pr-wd-93;cli-wd-30;29,16
2022-12-15;pr-wd-93;cli-wd-38;30,68
2022-12-15;pr-wd-93;cli-wd-51;27,66
2022-12-15;pr-wd-93;cli-wd-54;28,62
2022-12-14;pr-wd-93;cli-wd-08;28,28
2022-12-14;pr-wd-93;cli-wd-27;30,22
2022-12-14;pr-wd-93;cli-wd-27;29,7
2022-12-14;pr-wd-93;cli-wd-98;33,8
2022-12-14;pr-wd-93;cli-wd-21;30,04
2022-12-14;pr-al-52;cli-al-30;36697,4801
2022-12-14;pr-al-52;cli-al-97;37052,0451
2022-12-14;pr-al-52;cli-al-28;37001,3929
2022-12-14;pr-al-52;cli-al-64;36849,4365
2022-12-14;pr-al-52;cli-al-97;44472,5845
2022-12-14;pr-al-52;cli-al-69;36646,8279
2022-12-14;pr-al-52;cli-al-61;36570,8497
2022-12-14;pr-wd-93;cli-wd-48;30,84
2022-12-14;pr-wd-93;cli-wd-19;37,86
2022-12-14;pr-wd-93;cli-wd-04;31,62
2022-12-14;pr-wd-93;cli-wd-35;30,3
2022-12-14;pr-wd-93;cli-wd-64;29,68
2022-12-14;pr-wd-93;cli-wd-49;32,6
2022-12-14;pr-wd-93;cli-wd-17;38,04
2022-12-14;pr-wd-93;cli-wd-44;31,26
2022-12-13;pr-al-52;cli-al-92;36368,2411
2022-12-13;pr-al-52;cli-al-30;35861,7197
2022-12-13;pr-al-52;cli-al-93;36494,8715
2022-12-13;pr-al-52;cli-al-46;45308,345
2022-12-13;pr-al-52;cli-al-06;35279,22
2022-12-13;pr-al-52;cli-al-99;44573,8888
2022-12-13;pr-al-52;cli-al-37;36925,4147
2022-12-13;pr-al-52;cli-al-24;36216,2847
2022-12-13;pr-wd-93;cli-wd-93;34,34
2022-12-13;pr-wd-93;cli-wd-46;30,66
2022-12-13;pr-wd-93;cli-wd-53;29,96
2022-12-13;pr-wd-93;cli-wd-95;31,08
2022-12-13;pr-wd-93;cli-wd-99;30,34
2022-12-13;pr-wd-93;cli-wd-60;28,5
2022-12-13;pr-wd-93;cli-wd-97;32,46
2022-12-13;pr-wd-93;cli-wd-63;31,46
2022-12-13;pr-wd-93;cli-wd-85;33,86
2022-12-13;pr-wd-93;cli-wd-32;29,92
2022-12-13;pr-wd-93;cli-wd-87;31,26
2022-12-13;pr-wd-93;cli-wd-33;34,9
2022-12-12;pr-al-52;cli-al-67;36596,1758
2022-12-12;pr-al-52;cli-al-18;37052,0451
2022-12-12;pr-al-52;cli-al-25;46220,0836
2022-12-12;pr-al-52;cli-al-95;45662,91
2022-12-12;pr-al-52;cli-al-54;46397,3661
2022-12-12;pr-al-52;cli-al-58;35836,3936
2022-12-12;pr-wd-93;cli-wd-67;36,5
2022-12-12;pr-wd-93;cli-wd-46;31,32
2022-12-12;pr-wd-93;cli-wd-24;30,12
2022-12-12;pr-wd-93;cli-wd-32;29,26
2022-12-12;pr-wd-93;cli-wd-47;28,02
2022-12-12;pr-wd-93;cli-wd-86;27,18
2022-12-12;pr-wd-93;cli-wd-23;35,16
2022-12-12;pr-dd-15;cli-dd-66;29,08
2022-12-12;pr-dd-15;cli-dd-27;28,78
2022-12-12;pr-dd-15;cli-dd-02;28,1
2022-12-12;pr-wd-93;cli-wd-90;31,04
2022-12-12;pr-wd-93;cli-wd-17;39,4
2022-12-12;pr-wd-93;cli-wd-33;30,5
2022-12-12;pr-wd-93;cli-wd-09;27,12
2022-12-12;pr-wd-93;cli-wd-43;27,86
2022-12-12;pr-wd-93;cli-wd-48;32,7
2022-12-12;pr-wd-93;cli-wd-39;31,32
2022-12-12;pr-wd-93;cli-wd-93;32,72
2022-12-12;pr-wd-93;cli-wd-42;28,48
2022-12-12;pr-wd-93;cli-wd-26;28,12
2022-12-12;pr-wd-93;cli-wd-99;30,26
2022-12-12;pr-wd-93;cli-wd-50;36,44
2022-12-12;pr-wd-93;cli-wd-25;28,4
2022-12-11;pr-al-52;cli-al-24;42750,4116
2022-12-11;pr-al-52;cli-al-13;36368,2411
2022-12-11;pr-al-52;cli-al-60;37001,3929
2022-12-11;pr-al-52;cli-al-07;36165,6325
2022-12-11;pr-wd-93;cli-wd-57;29,78
2022-12-11;pr-wd-93;cli-wd-36;33,24
2022-12-11;pr-wd-93;cli-wd-45;32,24
2022-12-11;pr-wd-93;cli-wd-20;29,16
2022-12-11;pr-wd-93;cli-wd-65;29,9
2022-12-11;pr-wd-93;cli-wd-08;39,08
2022-12-11;pr-wd-93;cli-wd-16;35,44
2022-12-11;pr-wd-93;cli-wd-14;28,5
2022-12-11;pr-wd-93;cli-wd-76;28,16
2022-12-11;pr-wd-93;cli-wd-87;38,7
2022-12-11;pr-wd-93;cli-wd-15;31,0
2022-12-11;pr-wd-93;cli-wd-92;31,12
2022-12-10;pr-al-52;cli-al-98;42395,8465
2022-12-10;pr-al-52;cli-al-66;35532,4807
2022-12-10;pr-al-52;cli-al-32;36520,1976
2022-12-10;pr-al-52;cli-al-87;44675,1931
2022-12-10;pr-al-52;cli-al-63;37685,1969
2022-12-10;pr-al-52;cli-al-86;36722,8061
2022-12-10;pr-al-52;cli-al-51;36165,6325
2022-12-10;pr-al-52;cli-al-25;36621,5018
2022-12-10;pr-wd-93;cli-wd-58;30,84
2022-12-10;pr-wd-93;cli-wd-63;32,02
2022-12-10;pr-wd-93;cli-wd-62;27,46
2022-12-10;pr-wd-93;cli-wd-22;28,9
2022-12-10;pr-wd-93;cli-wd-58;27,2
2022-12-10;pr-wd-93;cli-wd-58;33,02
2022-12-10;pr-wd-93;cli-wd-86;28,18
2022-12-10;pr-wd-93;cli-wd-49;32,74
2022-12-10;pr-wd-93;cli-wd-52;29,64
2022-12-10;pr-wd-93;cli-wd-42;37,92
2022-12-09;pr-wd-93;cli-wd-70;32,7
2022-12-09;pr-wd-93;cli-wd-15;30,28
2022-12-09;pr-wd-93;cli-wd-54;29,66
2022-12-09;pr-wd-93;cli-wd-60;29,16
2022-12-09;pr-wd-93;cli-wd-97;38,64
2022-12-09;pr-wd-93;cli-wd-08;28,48
2022-12-09;pr-wd-93;cli-wd-53;26,66
2022-12-09;pr-wd-93;cli-wd-60;28,44
2022-12-09;pr-wd-93;cli-wd-05;27,14
2022-12-09;pr-wd-93;cli-wd-68;35,1
2022-12-08;pr-al-52;cli-al-06;44447,2585
2022-12-08;pr-al-52;cli-al-96;36140,3065
2022-12-08;pr-al-52;cli-al-94;45257,6928
2022-12-08;pr-al-52;cli-al-47;45055,0842
2022-12-08;pr-al-52;cli-al-99;36292,2629
2022-12-08;pr-al-52;cli-al-55;35279,22
2022-12-08;pr-al-52;cli-al-40;35076,6114
2022-12-08;pr-wd-93;cli-wd-52;38,3
2022-12-08;pr-wd-93;cli-wd-16;37,08
2022-12-08;pr-wd-93;cli-wd-13;30,7
2022-12-08;pr-wd-93;cli-wd-30;31,22
2022-12-08;pr-wd-93;cli-wd-19;31,14
2022-12-08;pr-wd-93;cli-wd-17;35,72
2022-12-08;pr-wd-93;cli-wd-63;29,58
2022-12-08;pr-wd-93;cli-wd-19;30,52
2022-12-08;pr-wd-93;cli-wd-92;27,38
2022-12-08;pr-wd-93;cli-wd-58;22,02
2022-12-07;pr-al-52;cli-al-55;35583,1328
2022-12-07;pr-al-52;cli-al-90;36140,3065
2022-12-07;pr-al-52;cli-al-90;35709,7632
2022-12-07;pr-al-52;cli-al-62;36241,6107
2022-12-07;pr-al-52;cli-al-23;34595,416
2022-12-07;pr-al-52;cli-al-09;36317,589
2022-12-07;pr-al-52;cli-al-12;36342,915
2022-12-07;pr-al-52;cli-al-01;35532,4807
2022-12-07;pr-wd-93;cli-wd-58;25,38
2022-12-07;pr-wd-93;cli-wd-01;33,24
2022-12-07;pr-wd-93;cli-wd-34;28,1
2022-12-07;pr-wd-93;cli-wd-96;28,96
2022-12-07;pr-dd-15;cli-dd-48;28,82
2022-12-07;pr-dd-15;cli-dd-89;27,76
2022-12-07;pr-dd-15;cli-dd-01;28,46
2022-12-07;pr-dd-15;cli-dd-16;29,22
2022-12-07;pr-dd-15;cli-dd-61;28,68
2022-12-07;pr-wd-93;cli-wd-64;29,86
2022-12-07;pr-dd-15;cli-dd-63;28,4
2022-12-07;pr-wd-93;cli-wd-69;39,1
2022-12-07;pr-wd-93;cli-wd-22;28,22
2022-12-07;pr-wd-93;cli-wd-93;32,88
2022-12-07;pr-wd-93;cli-wd-67;25,68
2022-12-07;pr-wd-93;cli-wd-76;30,32
2022-12-06;pr-wd-93;cli-wd-26;38,8
2022-12-06;pr-wd-93;cli-wd-16;37,52
2022-12-06;pr-wd-93;cli-wd-51;27,62
2022-12-06;pr-wd-93;cli-wd-86;27,32
2022-12-06;pr-wd-93;cli-wd-57;30,56
2022-12-06;pr-wd-93;cli-wd-29;31,08
2022-12-06;pr-al-52;cli-al-78;36317,589
2022-12-06;pr-al-52;cli-al-92;36646,8279
2022-12-06;pr-al-52;cli-al-69;42041,2815
2022-12-06;pr-al-52;cli-al-47;38343,6748
2022-12-06;pr-al-52;cli-al-94;36418,8933
2022-12-06;pr-al-52;cli-al-62;35709,7632
2022-12-06;pr-al-52;cli-al-69;36621,5018
2022-12-06;pr-al-52;cli-al-76;36494,8715
2022-12-06;pr-al-52;cli-al-16;44548,5628
2022-12-06;pr-al-52;cli-al-90;44675,1931
2022-12-06;pr-wd-93;cli-wd-90;36,98
2022-12-06;pr-wd-93;cli-wd-48;29,5
2022-12-06;pr-wd-93;cli-wd-85;28,96
2022-12-06;pr-wd-93;cli-wd-39;30,76
